timestamp, focused_object
0,none
0.01111111,none
0.02222222,none
0.03333334,none
0.04444445,none
0.05555556,none
0.06666667,none
0.07777778,none
0.08888889,none
0.1,none
0.1111111,none
0.1222222,none
0.1333333,none
0.1444445,none
0.1555556,none
0.1666667,none
0.1777778,none
0.1888889,none
0.2,none
0.2111111,none
0.2222222,none
0.2333333,none
0.2444444,none
0.2555556,none
0.2666667,none
0.2777778,none
0.2888889,none
0.3,none
0.3111111,none
0.3222222,none
0.3333333,none
0.3444445,none
0.3555556,Projector Screen,Screen
0.3666667,Projector Screen,Screen
0.3777778,Projector Screen,Screen
0.3888889,Projector Screen,Screen
0.4,Projector Screen,Screen
0.4111111,Projector Screen,Screen
0.4222222,Projector Screen,Screen
0.4333333,Projector Screen,Screen
0.4444444,Projector Screen,Screen
0.4555556,Projector Screen,Screen
0.4666667,Projector Screen,Screen
0.4777778,Projector Screen,Screen
0.4888889,Projector Screen,Screen
0.5,Projector Screen,Screen
0.5111111,Projector Screen,Screen
0.5222222,Projector Screen,Screen
0.5333334,Projector Screen,Screen
0.5444444,Projector Screen,Screen
0.5555556,Projector Screen,Screen
0.5666667,Projector Screen,Screen
0.5777778,Projector Screen,Screen
0.5888889,Projector Screen,Screen
0.6,Projector Screen,Screen
0.6111111,Projector Screen,Screen
0.6222222,Projector Screen,Screen
0.6333333,Projector Screen,Screen
0.6444445,Projector Screen,Screen
0.6555555,Projector Screen,Screen
0.6666667,Projector Screen,Screen
0.6777778,Projector Screen,Screen
0.6888889,Projector Screen,Screen
0.7,Projector Screen,Screen
0.7111111,Projector Screen,Screen
0.7222223,Projector Screen,Screen
0.7333333,Projector Screen,Screen
0.7444445,Female Classmate 10,Classmate
0.7555556,Female Classmate 10,Classmate
0.7666667,Female Classmate 10,Classmate
0.7777778,Female Classmate 10,Classmate
0.7888889,Female Classmate 10,Classmate
0.8,Female Classmate 10,Classmate
0.8111112,Female Classmate 10,Classmate
0.8222222,Female Classmate 10,Classmate
0.8333334,Female Classmate 10,Classmate
0.8444445,Female Classmate 10,Classmate
